ST,STATE,OCC_TITLE,A_MEAN
AL,Alabama,All Occupations,40890
AL,Alabama,Management Occupations,107080
AL,Alabama,Chief Executives,203150
AL,Alabama,General and Operations Managers,120640
AL,Alabama,Legislators,21920
AL,Alabama,Advertising and Promotions Managers,93350
AL,Alabama,Marketing Managers,127460
AL,Alabama,Sales Managers,113620
AL,Alabama,Public Relations and Fundraising Managers,93180
AL,Alabama,Administrative Services Managers,101200
AL,Alabama,Computer and Information Systems Managers,119480
AL,Alabama,Financial Managers,119970
AL,Alabama,Industrial Production Managers,94890
AL,Alabama,Purchasing Managers,108670
AL,Alabama,"Transportation, Storage, and Distribution Managers",89720
AL,Alabama,Compensation and Benefits Managers,100880
AL,Alabama,Human Resources Managers,96060
AL,Alabama,Training and Development Managers,96080
AL,Alabama,Construction Managers,89040
AL,Alabama,"Education Administrators, Preschool and Childcare Center/Program",49030
AL,Alabama,"Education Administrators, Elementary and Secondary School",78790
AL,Alabama,"Education Administrators, Postsecondary",99090
AL,Alabama,"Education Administrators, All Other",85020
AL,Alabama,Architectural and Engineering Managers,131900
AL,Alabama,Food Service Managers,60250
AL,Alabama,Funeral Service Managers,56500
AL,Alabama,Lodging Managers,45950
AL,Alabama,Medical and Health Services Managers,93020
AL,Alabama,Natural Sciences Managers,112910
AL,Alabama,Postmasters and Mail Superintendents,69440
AL,Alabama,"Property, Real Estate, and Community Association Managers",72030
AL,Alabama,Social and Community Service Managers,63810
AL,Alabama,Emergency Management Directors,67140
AL,Alabama,"Managers, All Other",100070
AL,Alabama,Business and Financial Operations Occupations,68130
AL,Alabama,"Agents and Business Managers of Artists, Performers, and Athletes",63320
AL,Alabama,"Buyers and Purchasing Agents, Farm Products",67530
AL,Alabama,"Wholesale and Retail Buyers, Except Farm Products",58880
AL,Alabama,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",64690
AL,Alabama,"Claims Adjusters, Examiners, and Investigators",57110
AL,Alabama,"Insurance Appraisers, Auto Damage",64040
AL,Alabama,Compliance Officers,63580
AL,Alabama,Cost Estimators,58670
AL,Alabama,Human Resources Specialists,57970
AL,Alabama,Labor Relations Specialists,45100
AL,Alabama,Logisticians,82870
AL,Alabama,Management Analysts,93320
AL,Alabama,"Meeting, Convention, and Event Planners",47060
AL,Alabama,Fundraisers,51450
AL,Alabama,"Compensation, Benefits, and Job Analysis Specialists",57830
AL,Alabama,Training and Development Specialists,57500
AL,Alabama,Market Research Analysts and Marketing Specialists,60180
AL,Alabama,"Business Operations Specialists, All Other",78820
AL,Alabama,Accountants and Auditors,65960
AL,Alabama,Appraisers and Assessors of Real Estate,52410
AL,Alabama,Budget Analysts,70690
AL,Alabama,Credit Analysts,50920
AL,Alabama,Financial Analysts,85590
AL,Alabama,Personal Financial Advisors,109190
AL,Alabama,Insurance Underwriters,54080
AL,Alabama,Credit Counselors,44730
AL,Alabama,Loan Officers,66580
AL,Alabama,"Tax Examiners and Collectors, and Revenue Agents",53390
AL,Alabama,Tax Preparers,32380
AL,Alabama,"Financial Specialists, All Other",70800
AL,Alabama,Computer and Mathematical Occupations,76330
AL,Alabama,Computer and Information Research Scientists,101510
AL,Alabama,Computer Systems Analysts,79700
AL,Alabama,Information Security Analysts,82280
AL,Alabama,Computer Programmers,81250
AL,Alabama,"Software Developers, Applications",93170
AL,Alabama,"Software Developers, Systems Software",98350
AL,Alabama,Web Developers,53250
AL,Alabama,Database Administrators,72750
AL,Alabama,Network and Computer Systems Administrators,69530
AL,Alabama,Computer Network Architects,90370
AL,Alabama,Computer User Support Specialists,45660
AL,Alabama,Computer Network Support Specialists,54570
AL,Alabama,"Computer Occupations, All Other",84900
AL,Alabama,Actuaries,89820
AL,Alabama,Operations Research Analysts,90590
AL,Alabama,Statisticians,56060
AL,Alabama,Architecture and Engineering Occupations,82670
AL,Alabama,"Architects, Except Landscape and Naval",77970
AL,Alabama,Landscape Architects,69090
AL,Alabama,Cartographers and Photogrammetrists,62370
AL,Alabama,Surveyors,53240
AL,Alabama,Aerospace Engineers,106240
AL,Alabama,Biomedical Engineers,82460
AL,Alabama,Chemical Engineers,94880
AL,Alabama,Civil Engineers,72970
AL,Alabama,Computer Hardware Engineers,105410
AL,Alabama,Electrical Engineers,93180
AL,Alabama,"Electronics Engineers, Except Computer",99750
AL,Alabama,Environmental Engineers,75400
AL,Alabama,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",92330
AL,Alabama,Industrial Engineers,83940
AL,Alabama,Marine Engineers and Naval Architects,58050
AL,Alabama,Materials Engineers,99250
AL,Alabama,Mechanical Engineers,84210
AL,Alabama,"Mining and Geological Engineers, Including Mining Safety Engineers",89410
AL,Alabama,Nuclear Engineers,*
AL,Alabama,Petroleum Engineers,132680
AL,Alabama,"Engineers, All Other",110330
AL,Alabama,Architectural and Civil Drafters,49430
AL,Alabama,Electrical and Electronics Drafters,63180
AL,Alabama,Mechanical Drafters,54260
AL,Alabama,"Drafters, All Other",42130
AL,Alabama,Aerospace Engineering and Operations Technicians,58790
AL,Alabama,Civil Engineering Technicians,35620
AL,Alabama,Electrical and Electronics Engineering Technicians,59450
AL,Alabama,Electro-Mechanical Technicians,53060
AL,Alabama,Environmental Engineering Technicians,51840
AL,Alabama,Industrial Engineering Technicians,55190
AL,Alabama,Mechanical Engineering Technicians,52640
AL,Alabama,"Engineering Technicians, Except Drafters, All Other",62770
AL,Alabama,Surveying and Mapping Technicians,38580
AL,Alabama,"Life, Physical, and Social Science Occupations",59680
AL,Alabama,Soil and Plant Scientists,59350
AL,Alabama,Biochemists and Biophysicists,88780
AL,Alabama,Microbiologists,71100
AL,Alabama,Zoologists and Wildlife Biologists,59370
AL,Alabama,"Biological Scientists, All Other",65430
AL,Alabama,Conservation Scientists,70220
AL,Alabama,Foresters,57170
AL,Alabama,Epidemiologists,59140
AL,Alabama,"Medical Scientists, Except Epidemiologists",49670
